,0,1,2,3,4
Administration,Business Operations Specialists,Secretaries and Administrative Assistants,Other Management Occupations,Unclassified Occupation,Information and Record Clerks
"Agriculture, Horticulture, and Landscaping",Grounds Maintenance Workers,"Other Installation, Maintenance, and Repair Occupations",Unclassified Occupation,Other Management Occupations,Building Cleaning and Pest Control Workers
Analysis,Computer Occupations,Mathematical Science Occupations,Business Operations Specialists,Financial Specialists,Other Management Occupations
Architecture and Construction,Material Moving Workers,"Other Installation, Maintenance, and Repair Occupations",Other Management Occupations,Construction Trades Workers,Business Operations Specialists
Business,Computer Occupations,Business Operations Specialists,Other Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Operations Specialties Managers
Customer and Client Support,Information and Record Clerks,Retail Sales Workers,"Sales Representatives, Wholesale and Manufacturing",Supervisors of Sales Workers,Other Management Occupations
Design,Computer Occupations,Art and Design Workers,Business Operations Specialists,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Unclassified Occupation
"Economics, Policy, and Social Studies",Other Management Occupations,Business Operations Specialists,Computer Occupations,Unclassified Occupation,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
Education and Training,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",Other Management Occupations,Computer Occupations,Healthcare Diagnosing or Treating Practitioners,Postsecondary Teachers
Energy and Utilities,Engineers,"Other Installation, Maintenance, and Repair Occupations","Drafters, Engineering Technicians, and Mapping Technicians",Other Management Occupations,Computer Occupations
Engineering,Engineers,Computer Occupations,"Drafters, Engineering Technicians, and Mapping Technicians","Other Installation, Maintenance, and Repair Occupations",Other Management Occupations
Environment,Engineers,Other Management Occupations,Computer Occupations,Motor Vehicle Operators,Business Operations Specialists
Finance,Financial Specialists,Operations Specialties Managers,Financial Clerks,Other Management Occupations,Business Operations Specialists
Health Care,Healthcare Diagnosing or Treating Practitioners,Health Technologists and Technicians,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",Other Management Occupations,Other Healthcare Support Occupations
Hospitality and Food Services,Food and Beverage Serving Workers,Other Management Occupations,Cooks and Food Preparation Workers,Supervisors of Food Preparation and Serving Workers,Other Food Preparation and Serving Related Workers
Human Resources,Business Operations Specialists,Operations Specialties Managers,Other Management Occupations,Computer Occupations,Unclassified Occupation
Information Technology,Computer Occupations,Business Operations Specialists,Unclassified Occupation,Other Management Occupations,Mathematical Science Occupations
"Law, Regulation, and Compliance",Other Management Occupations,Computer Occupations,Business Operations Specialists,Operations Specialties Managers,Financial Specialists
"Maintenance, Repair, and Facility Services","Other Installation, Maintenance, and Repair Occupations","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",Building Cleaning and Pest Control Workers,"Drafters, Engineering Technicians, and Mapping Technicians",Material Moving Workers
Manufacturing and Production,Other Production Occupations,Computer Occupations,Engineers,"Other Installation, Maintenance, and Repair Occupations",Metal Workers and Plastic Workers
Marketing and Public Relations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Business Operations Specialists,"Sales Representatives, Wholesale and Manufacturing",Other Management Occupations,Computer Occupations
Media and Communications,Computer Occupations,Business Operations Specialists,Other Management Occupations,Unclassified Occupation,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
"Performing Arts, Sports, and Recreation",Other Personal Care and Service Workers,"Entertainers and Performers, Sports and Related Workers",Other Teachers and Instructors,Other Management Occupations,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers"
Personal Care and Services,Personal Appearance Workers,Retail Sales Workers,Animal Care and Service Workers,Other Management Occupations,Supervisors of Sales Workers
Physical and Inherent Abilities,Computer Occupations,Other Management Occupations,Business Operations Specialists,Unclassified Occupation,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
Property and Real Estate,Other Management Occupations,Other Sales and Related Workers,Financial Specialists,Unclassified Occupation,Operations Specialties Managers
Public Safety and National Security,Other Protective Service Workers,Computer Occupations,Other Management Occupations,Operations Specialties Managers,Business Operations Specialists
Sales,"Sales Representatives, Wholesale and Manufacturing",Retail Sales Workers,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Supervisors of Sales Workers,Business Operations Specialists
Science and Research,Other Management Occupations,Health Technologists and Technicians,Computer Occupations,Mathematical Science Occupations,Business Operations Specialists
Social and Human Services,"Counselors, Social Workers, and Other Community and Social Service Specialists",Other Management Occupations,Healthcare Diagnosing or Treating Practitioners,Unclassified Occupation,Business Operations Specialists
"Transportation, Supply Chain, and Logistics",Material Moving Workers,Motor Vehicle Operators,Business Operations Specialists,Operations Specialties Managers,"Material Recording, Scheduling, Dispatching, and Distributing Workers"
