date,Skill: Pediatric Intensive Care Unit,Skill: Strategic Decision-Making,Skill: Pathology
2022-08-01,0.0024184449575841427,0.0015123857301659882,0.001869812433142215
2022-09-01,0.007561749313026667,0.0015385228907689452,0.002202023984864354
2022-10-01,0.0022484142100438476,0.0011052940972149372,0.0017487744917161763
2022-11-01,0.003969504963606596,0.001383612456265837,0.002285510767251253
2022-12-01,0.0028023412451148033,0.001608671504072845,0.0022583239478990436
2023-01-01,0.004774501081556082,0.0012054316466674209,0.0017050286987796426
2023-02-01,0.0009407297766301781,0.0013002005871385336,0.0019930520793423057
2023-03-01,0.006957173114642501,0.0011894843191839755,0.0018012688960880041
2023-04-01,0.0056376170832663774,0.0013040262856520712,0.0023627490736544132
2023-05-01,0.0033954556565731764,0.0010868479730561376,0.002218999550677836
2023-06-01,0.005149611970409751,0.0010009492980316281,0.0015377600793726742
2023-07-01,0.003948872676119208,0.0015328796580433846,0.002029258059337735
2023-08-01,0.0034923284547403455,0.0014007954159751534,0.001792170514818281
2023-09-01,0.004540360765531659,0.0014134994708001614,0.0018079355941154063
2023-10-01,0.010604105424135923,0.00163072079885751,0.0017390665598213673
2023-11-01,0.008385463617742062,0.0018059324356727302,0.0022540815407410264
2023-12-01,0.00526638119481504,0.001973078935407102,0.0023196698166429996
2024-01-01,0.0007243962318170816,0.001484818640165031,0.002574946964159608
2024-02-01,-0.0002769292623270303,0.0016365749179385602,0.0023330632830038667
2024-03-01,-0.00014997079415479675,0.0015471376827917993,0.001762117084581405
2024-04-01,0.000525990646565333,0.0018064650939777493,0.00168301397934556
2024-05-01,0.0010772435052786022,0.0018294150941073895,0.0018497510463930666
2024-06-01,0.0014616354601457715,0.001682416070252657,0.0022427596850320697
2024-07-01,0.0004203340649837628,0.001701467321254313,0.0021867576288059354
2024-08-01,0.0002656684664543718,0.002132901456207037,0.002643256913870573
2024-09-01,-0.00014154124801279977,0.0018321342067793012,0.001882279058918357
